IPO Date,Symbol,Company Name,Current,Return,IPO Price (Float),Todays Price,Current Return (%),Industry,Market Cap in Millions,Net Income (ttm) in Millions,Revenue (ttm) in Millions
"Dec 19, 2019",INDO,Indonesia Energy,2.96,-7309.0,11.0,2.33,-7886.0,Oil & Gas E&P,24.06,-3.12,3.13
"Dec 19, 2019",MNPR,Monopar Therapeutics,3.94,-5075.0,8.0,42.9,41250.0,Biotechnology,262.23,-15.59,
"Dec 13, 2019",OCFT,OneConnect Financial Technology Co.,2.4,-7600.0,10.0,5.92,-4000.0,Software - Application,229.21,-62.98,308.0
"Dec 13, 2019",SPT,Sprout Social,93.82,45188.0,17.0,20.81,2253.0,Software - Application,1210.0,-61.97,405.91
"Dec 12, 2019",BILL,Bill.com Holdings,256.29,106495.0,22.0,45.22,10364.0,Software - Application,4610.0,81.86,1390.0
"Dec 12, 2019",EH,EHang Holdings,15.83,2664.0,12.5,16.74,3256.0,Aerospace & Defense,1200.0,-31.48,62.49
"Dec 11, 2019",XP,XP Inc.,29.49,922.0000000000001,27.0,15.99,-4015.0,Capital Markets,8590.0,729.75,2630.0
"Nov 22, 2019",PINE,Alpine Income Property Trust,18.82,-95.0,19.0,15.65,-1837.0,REIT - Retail,242.43,1.15,53.97
"Nov 21, 2019",CAN,Canaan,5.16,-4267.0,9.0,0.72,-9200.0,Computer Hardware,267.18,-249.75,269.32
"Nov 21, 2019",SITM,SiTime,272.84,199877.0,13.0,145.88,98977.0,Semiconductors,3460.0,-93.6,202.7
"Nov 11, 2019",ETNB,89bio,12.4,-2250.0,16.0,7.97,-5156.0,Biotechnology,1160.0,-367.08,
"Nov 8, 2019",CNSP,CNS Pharmaceuticals,0.91,-7720.0,4.0,1.08,-7450.0,Biotechnology,3.18,-14.86,
"Nov 8, 2019",JIH,Juniper Industrial Holdings,13.19,3190.0,10.0,13.19,3190.0,N/A,975.16,70.4,963.8
"Nov 8, 2019",KRKR,36Kr Holdings,1.18,-9186.0,14.5,5.5,-6207.0,Advertising Agencies,10.84,-18.72,31.66
"Nov 8, 2019",TELA,TELA Bio,12.8,-154.0,13.0,0.94,-9277.0,Medical Devices,37.1,-37.84,69.3
