IPO Date,Symbol,Company Name,IPO Price,Todays Price,Current Return,Year,IPO Price (Float),Todays Price (Float),Current Return (%)
"Dec 30, 2019",MKDTY,Molecular Data Inc.,$5.38,-,-100.00%,2019,5.38,,-100.0
"Dec 19, 2019",INDO,Indonesia Energy Corporation Limited,$11.00,$2.33,-78.86%,2019,11.0,2.33,-78.86
"Dec 19, 2019",MNPR,Monopar Therapeutics Inc.,$8.00,$42.90,412.50%,2019,8.0,42.9,412.5
"Dec 13, 2019",CIIC,CIIG Merger,$10.00,$21.60,116.00%,2019,10.0,21.6,116.0
"Dec 13, 2019",HCCO,Healthcare Merger Corp,$10.00,$8.97,-10.30%,2019,10.0,8.97,-10.3
"Dec 13, 2019",OCFT,"OneConnect Financial Technology Co., Ltd.",$10.00,$5.92,-40.00%,2019,10.0,5.92,-40.0
"Dec 13, 2019",SPT,"Sprout Social, Inc.",$17.00,$20.81,22.53%,2019,17.0,20.81,22.53
"Dec 12, 2019",BILL,"BILL Holdings, Inc.",$22.00,$45.22,103.64%,2019,22.0,45.22,103.64
"Dec 12, 2019",EH,EHang Holdings Limited,$12.50,$16.74,32.56%,2019,12.5,16.74,32.56
"Dec 11, 2019",LIVK,LIV Capital Acquisition Corp.,$10.00,$10.30,3.00%,2019,10.0,10.3,3.0
"Dec 11, 2019",XP,XP Inc.,$27.00,$15.99,-40.15%,2019,27.0,15.99,-40.15
"Dec 5, 2019",LMPX,"LMP Automotive Holdings, Inc.",$5.00,$0.35,-93.00%,2019,5.0,0.35,-93.0
"Nov 26, 2019",ALUS,Alussa Energy Acquisition Corp.,$10.00,$9.50,-5.00%,2019,10.0,9.5,-5.0
"Nov 22, 2019",CHPM,CHP Merger Corp.,$10.00,$10.18,1.80%,2019,10.0,10.18,1.8
"Nov 22, 2019",PINE,"Alpine Income Property Trust, Inc.",$19.00,$15.65,-18.37%,2019,19.0,15.65,-18.37
"Nov 22, 2019",PTAC,PropTech Acquisition Corp.,$10.00,$14.81,48.10%,2019,10.0,14.81,48.1
"Nov 21, 2019",CAN,Canaan Inc.,$9.00,$0.72,-92.00%,2019,9.0,0.72,-92.0
"Nov 21, 2019",GRNV,Greenvision Acquisition Corp.,$10.00,$8.14,-18.60%,2019,10.0,8.14,-18.6
"Nov 21, 2019",SITM,SiTime Corporation,$13.00,$145.88,989.77%,2019,13.0,145.88,989.77
"Nov 20, 2019",AMHC,Amplitude Healthcare Acquisition Corp.,$10.00,$15.12,51.20%,2019,10.0,15.12,51.2
"Nov 20, 2019",SAQN,Software Acquisition Group,$10.00,$10.10,1.00%,2019,10.0,10.1,1.0
"Nov 13, 2019",YAYO,"EVmo, Inc.",$4.00,-,-100.00%,2019,4.0,,-100.0
"Nov 11, 2019",ETNB,"89bio, Inc.",$16.00,$7.97,-51.56%,2019,16.0,7.97,-51.56
"Nov 8, 2019",CNSP,"CNS Pharmaceuticals, Inc.",$4.00,$1.08,-74.50%,2019,4.0,1.08,-74.5
"Nov 8, 2019",JIH,"Juniper Industrial Holdings, Inc.",$10.00,$13.19,31.90%,2019,10.0,13.19,31.9
"Nov 8, 2019",KRKR,36Kr Holdings Inc.,$14.50,$5.50,-62.07%,2019,14.5,5.5,-62.07
"Nov 8, 2019",MOHOY,ECMOHO Limited,$10.00,-,-,2019,10.0,,
"Nov 8, 2019",SRAC,Stable Road Acquisition Corp.,$10.00,$10.97,9.70%,2019,10.0,10.97,9.7
"Nov 8, 2019",TELA,"TELA Bio, Inc.",$13.00,$0.94,-92.77%,2019,13.0,0.94,-92.77
"Nov 7, 2019",CNTG,Centogene N.V.,$14.00,-,-,2019,14.0,,
"Nov 7, 2019",DFNS,LGL Systems Acquisition,$10.00,$13.84,38.40%,2019,10.0,13.84,38.4
"Nov 7, 2019",GRTX,"Galera Therapeutics, Inc.",$12.00,$0.07,-99.44%,2019,12.0,0.07,-99.44
"Nov 7, 2019",SICP,Silvergate Capital Corporation,$12.00,$1.19,-90.08%,2019,12.0,1.19,-90.08
"Nov 5, 2019",MCMJ,Merida Merger Corp. I,$10.00,$6.53,-34.70%,2019,10.0,6.53,-34.7
"Nov 5, 2019",XHG,XChange TEC.INC,-,$0.11,-,2019,,0.11,
