IPO Date,Symbol,Company Name,Current,Return,IPO Price (Float),Todays Price,Current Return (%),Market Cap,Revenue (ttm),Net Income (ttm)
"Dec 19, 2019",INDO,Indonesia Energy,2.96,-73.09,11.0,2.33,-78.86,24.06M,3.13M,-3.12M
"Dec 19, 2019",MNPR,Monopar Therapeutics,3.94,-50.75,8.0,42.9,412.5,262.23M,n/a,-15.59M
"Dec 13, 2019",OCFT,OneConnect Financial Technology Co.,2.4,-76.0,10.0,5.92,-40.0,229.21M,308.00M,-62.98M
"Dec 13, 2019",SPT,Sprout Social,93.82,451.88,17.0,20.81,22.53,1.21B,405.91M,-61.97M
"Dec 12, 2019",BILL,Bill.com Holdings,256.29,1064.95,22.0,45.22,103.64,4.61B,1.39B,81.86M
"Dec 12, 2019",EH,EHang Holdings,15.83,26.64,12.5,16.74,32.56,1.20B,62.49M,-31.48M
"Dec 11, 2019",XP,XP Inc.,29.49,9.22,27.0,15.99,-40.15,8.59B,2.63B,729.75M
"Dec 5, 2019",LMPX,LMP Automotive Holdings,7.17,43.4,5.0,0.35,-93.0,N/A,N/A,N/A
"Nov 22, 2019",PINE,Alpine Income Property Trust,18.82,-0.95,19.0,15.65,-18.37,242.43M,53.97M,1.15M
"Nov 21, 2019",CAN,Canaan,5.16,-42.67,9.0,0.72,-92.0,267.18M,269.32M,-249.75M
"Nov 21, 2019",SITM,SiTime,272.84,1998.77,13.0,145.88,989.77,3.46B,202.70M,-93.60M
"Nov 13, 2019",YAYO,"EVmo, Inc.",0.61,-84.77,4.0,,-100.0,7.13K,13.94M,-8.77M
"Nov 11, 2019",ETNB,89bio,12.4,-22.5,16.0,7.97,-51.56,1.16B,n/a,-367.08M
"Nov 8, 2019",CNSP,CNS Pharmaceuticals,0.91,-77.2,4.0,1.08,-74.5,3.18M,n/a,-14.86M
"Nov 8, 2019",JIH,Juniper Industrial Holdings,13.19,31.9,10.0,13.19,31.9,975.16M,963.80M,70.40M
"Nov 8, 2019",KRKR,36Kr Holdings,1.18,-91.86,14.5,5.5,-62.07,10.84M,31.66M,-18.72M
"Nov 8, 2019",TELA,TELA Bio,12.8,-1.54,13.0,0.94,-92.77,37.10M,69.30M,-37.84M
"Nov 7, 2019",CNTG,Centogene,5.17,-63.07,14.0,,,4.40M,53.65M,-39.27M
"Nov 7, 2019",GRTX,Galera Therapeutics,4.41,-63.25,12.0,0.07,-99.44,1.74M,n/a,-18.96M
"Nov 1, 2019",DUO,Fangdd Network Group,0.51,-96.08,13.0,0.24,-98.11,8.67M,46.46M,4.22M
"Oct 31, 2019",OYST,Oyster Point Pharma,15.55,-2.81,16.0,11.17,-30.19,10.04B,14.74B,-634.20M
"Oct 31, 2019",RAPT,Rapt Therapeutics,33.06,175.5,12.0,0.9,-92.41,119.08M,n/a,-129.87M
"Oct 25, 2019",CABA,Cabaletta Bio,4.3,-60.91,11.0,1.32,-88.23,66.73M,n/a,-115.86M
"Oct 25, 2019",DAO,Youdao,11.88,-30.12,17.0,8.78,-48.82,1.05B,770.77M,11.26M
"Oct 25, 2019",PGNY,Progyny,50.16,285.85,13.0,22.77,74.15,1.95B,1.17B,54.34M
"Oct 25, 2019",PHAT,Phathom Pharmaceuticals,19.36,1.89,19.0,4.34,-77.05,296.76M,55.25M,-334.33M
"Oct 25, 2019",TFFP,TFF Pharmaceuticals,8.54,70.8,5.0,0.07,-98.7,288.80K,1.16M,-18.52M
"Oct 17, 2019",BRBR,Bellring Brands,27.3,95.0,14.0,76.37,440.14,9.80B,2.10B,279.50M
"Oct 17, 2019",IPHA,Innate Pharma,5.02,-8.73,5.5,2.21,-60.0,175.80M,20.83M,-51.22M
"Oct 11, 2019",HBT,HBT Financial,18.1,13.13,16.0,23.16,44.75,732.58M,227.04M,75.60M
"Oct 11, 2019",VIR,Vir Biotechnology,43.37,116.85,20.0,6.05,-70.1,835.29M,74.21M,-521.96M
